2026-08-02 09:48:56 configure locales:all 2.43-2ubuntu2.3 <none>
2026-08-02 09:48:56 status unpacked locales:all 2.43-2ubuntu2.3
2026-08-02 09:48:56 status half-configured locales:all 2.43-2ubuntu2.3
2026-08-02 09:49:29 status installed locales:all 2.43-2ubuntu2.3
2026-08-02 09:49:29 configure libc6-dbg:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:49:29 status unpacked libc6-dbg:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status half-configured libc6-dbg:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status installed libc6-dbg:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 configure libc-dev-bin:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:49:29 status unpacked libc-dev-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status half-configured libc-dev-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status installed libc-dev-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 configure libc-devtools:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:49:29 status unpacked libc-devtools:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status half-configured libc-devtools:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status installed libc-devtools:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 configure libc6-dev:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:49:29 status unpacked libc6-dev:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status half-configured libc6-dev:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 status installed libc6-dev:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:29 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-08-02 09:49:29 status half-configured man-db:amd64 2.13.1-1build1
2026-08-02 09:49:30 status installed man-db:amd64 2.13.1-1build1
2026-08-02 09:49:30 trigproc systemd:amd64 259.5-0ubuntu3 <none>
2026-08-02 09:49:30 status half-configured systemd:amd64 259.5-0ubuntu3
2026-08-02 09:49:31 status installed systemd:amd64 259.5-0ubuntu3
2026-08-02 09:49:36 startup archives unpack
2026-08-02 09:49:36 upgrade libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:36 status triggers-pending libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:36 status half-configured libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status unpacked libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status half-installed libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status triggers-pending hicolor-icon-theme:all 0.18-2build1
2026-08-02 09:49:36 status unpacked libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:36 upgrade libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:36 status half-configured libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status unpacked libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status half-installed libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:36 status unpacked libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 upgrade libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status unpacked libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status half-installed libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status unpacked libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 upgrade libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status unpacked libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status half-installed libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.1
2026-08-02 09:49:37 status triggers-pending man-db:amd64 2.13.1-1build1
2026-08-02 09:49:37 status unpacked libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 startup packages configure
2026-08-02 09:49:37 configure libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2 <none>
2026-08-02 09:49:37 status unpacked libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status installed libwinpr3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 configure libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2 <none>
2026-08-02 09:49:37 status unpacked libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status installed libfreerdp3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 configure libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2 <none>
2026-08-02 09:49:37 status unpacked libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status installed libfreerdp-server3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 configure libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2 <none>
2026-08-02 09:49:37 status unpacked libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status half-configured libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 status installed libfreerdp-client3-3:amd64 3.30.0+dfsg-0ubuntu0.26.04.2
2026-08-02 09:49:37 trigproc libc-bin:amd64 2.43-2ubuntu2.3 <none>
2026-08-02 09:49:37 status half-configured libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:37 status installed libc-bin:amd64 2.43-2ubuntu2.3
2026-08-02 09:49:37 trigproc man-db:amd64 2.13.1-1build1 <none>
2026-08-02 09:49:37 status half-configured man-db:amd64 2.13.1-1build1
2026-08-02 09:49:37 status installed man-db:amd64 2.13.1-1build1
